日期,投放,投放ID,投放,订单,显示数,点击数,(%)点击率,唯一显示数,唯一点击数
2018-06-04,pc-专题banner导流,606720,,BJ-18-033,19969,24,0.12,12051,23
2018-06-03,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2493,0,0,2038,0
2018-06-03,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2425,0,0,1999,0
2018-06-03,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2701,0,0,1767,0
2018-06-03,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2008,0,0,1385,0
2018-06-03,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3719,0,0,2948,0
2018-06-03,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3720,0,0,2938,0
2018-06-03,Mobile-专题-mpu,606719,,BJ-18-033,44436,110,0.25,29732,105
2018-06-03,Mobile-专题-顶通,606718,,BJ-18-033,43708,19,0.04,28860,18
2018-06-03,mobile-mpu2,606646,,BJ-18-029,0,1,0,0,1
2018-06-03,pc-专题-半幅画中画1,606714,,BJ-18-033,7980,0,0,4888,0
2018-06-03,pc-专题-半幅画中画2,606715,,BJ-18-033,7969,6,0.08,4872,4
2018-06-03,pc-专题-底通,606717,,BJ-18-033,7913,0,0,4853,0
2018-06-03,pc-专题-顶通,606713,,BJ-18-033,8009,2,0.02,4904,2
